Acoustic Impedance,Mineral
17.064,Aluminum
38,Aluminum-Oxide
17.209,Al ( 1100-0 )
17.759,Al ( 2014 )
17.645,Al ( 2024-T4 )
18.135,Al ( 2117-T4 )
25.3,Babbit Bearing
23.68,Beryllium
21.364,Bismuth
35.096,Brass
31.061,Brass ( Half Hard )
37.301,Brass ( Naval )
31.064,Bronze
24.047,Cadmium
46.235,Carbon Steel
1.817,Cesium
10.105,Concrete
46.112,Constantan
42.418,Copper
0.175,Cork
63.18,Diamond
3.393,Epoxy Resin
4.914,Fiberglass
16.303,Gallium
29.593,Germanium
16.768,Glass (Crown L )
19.95,Glass ( Crown H )
13.632,Glass ( Flint L )
16.653,Glass ( Flint H )
12.577,Glass (Pyrex )
14.95,Glass ( Quartz )
14.285,Glass ( Window )
11.2,Granite
5.05,Graphite ( Pressed )
62.499,Gold
50.688,Hafnium
47.19,Inconel
16.228,Indium
47.005,Iron
41.818,Iron ( Cast )
5.55,Ivory
24.438,Lead
10.979,Magnesium
10.075,Mg ( AM-35 )
9.244,Mg ( FS-1 )
9.639,Mg ( J-1 )
10.08,Mg ( M )
10.556,Mg ( O-1 )
10.449,Mg ( ZK-60A-TS )
34.624,Manganese
10.26,Marble
64.221,Molybdenum
53.157,Monel
49.544,Nickel
43.45,Niobium
2.99,Nylon
2.979,PA ( Polyamide )
1.782,PE ( Polyethylene )
24.236,Pewter
3.269,PMMA ( Plexiglass )
2.457,Polystyrene
15.141,Porcelain
2.97,PTFE
3.155,PVC
84.942,Platinum
35.514,Plutonium
1.565,Potassium
15.264,Quartz ( Crystal )
2.76,Rubber ( Hard )
1.426,Rubber ( Soft )
1.93,Rubidium
22.415,Silicon
37.8,Silver
40.425,Silver-Nickel
41.46,Silver-Germanium
46.978,Steel ( 302 )
45.403,Steel ( 347 )
41.341,Steel ( 410 )
45.961,Steel ( 1020 )
45.961,Steel ( 1095 )
45.942,Steel ( 4150 RC14 )
46.119,Steel ( 4150 RC18 )
45.845,Steel ( 4150 RC43 )
45.396,Steel ( 4150 RC64 )
68.265,Tantalum
19.197,Thallium
28.128,Thorium
45.962,Tool Steel ( 1% C )
46.715,Tool Steel ( 2% C )
23.904,Tin
27.558,Titanium
42.591,Titanium-Carbide
99.974,Tungsten
64.051,Uranium
2.76,Wood
56.825,Uranium-Dioxide
5.346,Wood ( Hard )
34.8,Vanadium
42.622,Zircaloy
29.732, Zinc
30.179,Zirconium
